,City,
0,New York,175905
1,Los Angeles,207359
2,Chicago,122604
3,Houston,2688911
4,Phoenix,111257
5,Philadelphia,188022
6,San Antonio,253556
7,San Diego,253832
8,Dallas,6571629
9,San Jose,112143
10,Austin,113314
11,Jacksonville,119008
12,Fort Worth,115274
13,Columbus,182706
14,Charlotte,177415
15,San Francisco,396487
16,Indianapolis,1812962
17,Seattle,237385
18,Denver,253750
19,Washington,5396194
20,Boston,2315704
21,El Paso,113919
22,Nashville,197472
23,Detroit,134591
24,Oklahoma City,185048
25,Portland,186579
26,Las Vegas,170117
27,Memphis,197239
28,Louisville,1804307
29,Baltimore,133345
30,Milwaukee,251075
31,Albuquerque,171262
32,Tucson,253824
33,Fresno,112443
34,Mesa,110815
35,Sacramento,6232940
36,Atlanta,119557
37,Kansas City,141008
38,Colorado Springs,113141
39,Omaha,169759
40,Raleigh,179052
41,Miami,1216769
42,Long Beach,112100
43,Virginia Beach,206670
44,Oakland,2833530
45,Minneapolis,136712
46,Tulsa,184985
47,Tampa,1216849
48,Arlington,115329
49,New Orleans,131885
50,Wichita,129814
51,Bakersfield,
52,Cleveland,
53,Aurora,
54,Anaheim,
55,Honolulu,
56,Santa Ana,
57,Riverside,
58,Corpus Christi,
59,Lexington,
60,Henderson,
61,Stockton,
62,Saint Paul,
63,Cincinnati,
64,St. Louis,
65,Pittsburgh,188553
66,Greensboro,
67,Lincoln,
68,Anchorage,
69,Plano,
70,Orlando,
71,Irvine,
72,Newark,
73,Durham,
74,Chula Vista,
75,Toledo,
76,Fort Wayne,
77,St. Petersburg,
78,Laredo,
79,Jersey City,
80,Chandler,
81,Madison,
82,Lubbock,
83,Scottsdale,
84,Reno,
85,Buffalo,
86,Gilbert,
87,Glendale,
88,North Las Vegas,
89,Winstonâ€“Salem,
90,Chesapeake,
91,Norfolk,
92,Fremont,
93,Garland,
94,Irving,
95,Hialeah,
96,Richmond,
97,Boise,
98,Spokane,
99,Baton Rouge,
100,Tacoma,
101,San Bernardino,
102,Modesto,
103,Fontana,
104,Des Moines,
105,Moreno Valley,
106,Santa Clarita,
107,Fayetteville,
108,Birmingham,
109,Oxnard,
110,Rochester,
111,Port St. Lucie,
112,Grand Rapids,
113,Huntsville,
114,Salt Lake City,
115,Frisco,
116,Yonkers,
117,Amarillo,
118,Glendale,
119,Huntington Beach,
120,McKinney,
121,Montgomery,
122,Augusta,
123,Aurora,
124,Akron,
125,Little Rock,
126,Tempe,
127,Columbus,
128,Overland Park,
129,Grand Prairie,
130,Tallahassee,
131,Cape Coral,
132,Mobile,
133,Knoxville,
134,Shreveport,
135,Worcester,
136,Ontario,
137,Vancouver,
138,Sioux Falls,
139,Chattanooga,
140,Brownsville,
141,Fort Lauderdale,
142,Providence,
143,Newport News,
144,Rancho Cucamonga,
145,Santa Rosa,
146,Peoria,
147,Oceanside,
148,Elk Grove,
149,Salem,
150,Pembroke Pines,
151,Eugene,
152,Garden Grove,
153,Cary,
154,Fort Collins,
155,Corona,
156,Springfield,
157,Jackson,
158,Alexandria,
159,Hayward,
160,Clarksville,
161,Lakewood,
162,Lancaster,
163,Salinas,
164,Palmdale,
165,Hollywood,
166,Springfield,
167,Macon,
168,Kansas City,
169,Sunnyvale,
170,Pomona,
171,Killeen,
172,Escondido,
173,Pasadena,
174,Naperville,
175,Bellevue,
176,Joliet,
177,Murfreesboro,
178,Midland,
179,Rockford,
180,Paterson,
181,Savannah,
182,Bridgeport,
183,Torrance,
184,McAllen,
185,Syracuse,
186,Surprise,
187,Denton,
188,Roseville,
189,Thornton,
190,Miramar,
191,Pasadena,
192,Mesquite,
193,Olathe,
194,Dayton,
195,Carrollton,
196,Waco,
197,Orange,
198,Fullerton,
199,Charleston,
200,West Valley City,
201,Visalia,
202,Hampton,
203,Gainesville,
204,Warren,
205,Coral Springs,
206,Cedar Rapids,
207,Round Rock,
208,Sterling Heights,
209,Kent,
210,Columbia,
211,Santa Clara,
212,New Haven,
213,Stamford,
214,Concord,
215,Elizabeth,
216,Athens,
217,Thousand Oaks,
218,Lafayette,
219,Simi Valley,
220,Topeka,
221,Norman,
222,Fargo,
223,Wilmington,
224,Abilene,
225,Odessa,
226,Columbia,
227,Pearland,
228,Victorville,
229,Hartford,
230,Vallejo,
231,Allentown,
232,Berkeley,
233,Richardson,
234,Arvada,
235,Ann Arbor,
236,Rochester,
237,Cambridge,
238,Sugar Land,
239,Lansing,
240,Evansville,
241,College Station,
242,Fairfield,
243,Clearwater,
244,Beaumont,
245,Independence,
246,Provo,
247,West Jordan,
248,Murrieta,
249,Palm Bay,
250,El Monte,
251,Carlsbad,
252,North Charleston,
253,Temecula,
254,Clovis,
255,Springfield,
256,Meridian,
257,Westminster,
258,Costa Mesa,
259,High Point,
260,Manchester,
261,Pueblo,
262,Lakeland,
263,Pompano Beach,
264,West Palm Beach,
265,Antioch,
266,Everett,
267,Downey,
268,Lowell,
269,Centennial,
270,Elgin,
271,Richmond,
272,Peoria,
273,Broken Arrow,
274,Miami Gardens,
275,Billings,
276,Jurupa Valley,
277,Sandy Springs,
278,Gresham,
279,Lewisville,
280,Hillsboro,
281,Ventura,
282,Greeley,
283,Inglewood,
284,Waterbury,
285,League City,
286,Santa Maria,
287,Tyler,
288,Davie,
289,Daly City,
290,Boulder,
291,Allen,
292,West Covina,
293,Sparks,
294,Wichita Falls,
295,Green Bay,
296,San Mateo,
297,Norwalk,
298,Rialto,
299,Las Cruces,
300,Chico,
301,El Cajon,
302,Burbank,
303,South Bend,
304,Renton,
305,Vista,
306,Davenport,
307,Edinburg,
308,Tuscaloosa,
309,Carmel,
310,Spokane Valley,
311,San Angelo,
312,Vacaville,
313,Bend,